"","zipcode","zcta","state","totalHH","enrollments","eligible_adj","eligible_adj_perc","HHEoE_adj","total_support"
"270","01452","01452","MA",1586,122,470.961140935054,29.694901698301,25.9044726615404,38299.14
"271","01453","01453","MA",17896,1743,7573.05514623567,42.3170269682369,23.0158102158597,561957.7
"272","01460","01460","MA",3504,122,787.447027643411,22.4728033003257,15.493105658816,39980.8
"273","01462","01462","MA",4447,256,1629.52554763529,36.6432549501976,15.7100942891935,86833.17
"274","01463","01463","MA",4370,402,1305.50428267197,29.8742398780771,30.7926986786461,130033.16
"275","01464","01464","MA",2345,165,559.501835430844,23.8593533232769,29.4905198788028,51126.81
"276","01468","01468","MA",1622,92,384.304291003004,23.6932361900742,23.9393631957341,26615.59
"277","01469","01469","MA",2831,138,827.007763481955,29.2125667072397,16.6866631842702,45878.97
"278","01473","01473","MA",3122,123,853.381587374318,27.3344518697732,14.4132474639447,39535.97
"279","01474","01474","MA",680,26,180.849078119061,26.5954526645678,14.3766284409164,9828.88
"280","01475","01475","MA",3726,505,1716.18239756734,46.0596456674004,29.4257766957539,169438.48
"281","01501","01501","MA",6534,691,2194.67891675735,33.5885968282423,31.4852434551545,228193.74
"282","01503","01503","MA",1311,100,459.658073552613,35.0616379521444,21.7553015499365,33406.78
"283","01504","01504","MA",3874,239,1527.79794119332,39.437220991051,15.643429903651,81231.37
"284","01505","01505","MA",1834,91,361.698156238122,19.7218187697994,25.1590997716037,27531.26
"285","01506","01506","MA",1395,210,629.204084289233,45.1042354329199,33.3754985454715,72111.74
"286","01507","01507","MA",4776,434,958.876882943771,20.0769866613017,45.261285126367,138011.46
"287","01510","01510","MA",6455,534,1989.33985930967,30.8185880605681,26.8430754805921,170376.34
"288","01515","01515","MA",835,92,278.808995433552,33.3902988543176,32.997500621147,27909.43
"289","01516","01516","MA",3179,235,642.390996235414,20.2073292304314,36.5820818437936,73098.39
"290","01518","01518","MA",1280,182,730.931690731204,57.1040383383753,24.8997276090098,61709.17
"291","01519","01519","MA",2652,115,529.360322411001,19.9607964710031,21.7243331491537,34738.43
"292","01520","01520","MA",6021,323,1482.58567166355,24.6235786690508,21.7862620807319,107911.9
"293","01521","01521","MA",1106,90,378.652757311784,34.2362348383168,23.7684787082889,32602.34
